"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"CRIP1",25.1699127121765,2.08253994312854,0.177883530850183,11.7073229498828,1.16912918860466e-31,2.17878915588364e-27,"Up"
"PLA2G2D",131.991955681119,3.73795393899121,0.40809059172768,9.15961802296475,5.20813385193274e-20,4.85293912323093e-16,"Up"
"CD79A",455.804844945124,3.41585456766031,0.37894534731096,9.01410874127261,1.98477717789767e-19,7.47389826196143e-16,"Up"
"IL21R",132.025205508316,2.43313135236592,0.268902654153442,9.04837239344434,1.45115131727769e-19,7.47389826196143e-16,"Up"
"C16orf54",124.147069824422,2.26199039736376,0.250970178630285,9.01298476858477,2.00523134308903e-19,7.47389826196143e-16,"Up"
"SIT1",136.15849611907,2.52516688357947,0.28101227956023,8.98596633403789,2.56470501439305e-19,7.96597377470481e-16,"Up"
"LCK",411.998291501738,2.43504838421002,0.272125650551514,8.94825011635224,3.61161952565265e-19,9.61516306858041e-16,"Up"
"LY9",95.5997533331477,2.4164002321122,0.27763059124539,8.70365265323522,3.21369625440651e-18,7.48630542463997e-15,"Up"
"TBC1D10C",370.692741008138,2.09950996881886,0.241872997602203,8.68021643437776,3.95016396766134e-18,8.17947285570409e-15,"Up"
"CD247",212.343661545773,2.22764631432557,0.258043356350921,8.63283731008413,5.98485314391368e-18,1.11533723189975e-14,"Up"
"UBASH3A",87.0588309916139,2.44170482015269,0.283631382593839,8.60872586743766,7.38770793123901e-18,1.25161204551427e-14,"Up"
"NCR3",23.3681252299238,2.5664385750714,0.300062906644928,8.55300178141756,1.1992804611217e-17,1.86248255612199e-14,"Up"
"PAX5",58.0991734003482,3.45153994131451,0.406214629282651,8.49683810602711,1.94824863967796e-17,2.79288935761834e-14,"Up"
"ADAMDEC1",196.422047935978,2.94638918981894,0.349776610437302,8.42363126035005,3.6499175758026e-17,4.64406945785334e-14,"Up"
"HSH2D",113.051725950747,2.40486089172865,0.285584482106699,8.42083881444984,3.73798249988195e-17,4.64406945785334e-14,"Up"
"CD6",378.970276413101,2.1287107750046,0.256889277698655,8.28649134006167,1.16638183239152e-16,1.33879019124468e-13,"Up"
"SLA2",144.063774424658,2.32437622994879,0.2806872389503,8.28101854092611,1.22126171126634e-16,1.33879019124468e-13,"Up"
"ACAP1",517.364759636043,1.86058040474201,0.225727683731691,8.24258847644748,1.6852441247568e-16,1.62540447364432e-13,"Up"
"CD27",149.29988828711,2.42684774182817,0.294575305485723,8.23846295542854,1.74437054479965e-16,1.62540447364432e-13,"Up"
"ICAM3",35.9033933249873,2.34087386706205,0.284101912626488,8.23955687387302,1.72849630850246e-16,1.62540447364432e-13,"Up"
"CD3D",320.340800789097,2.39510509324118,0.292368490038886,8.19207669377308,2.56756933022409e-16,2.27853438276458e-13,"Up"
