"","gene_id","gene_symbol","log2.fc.","pval","qval","fc","up.down","significant","change"
"1","ENSG00000006118","TMEM132A",-0.3072,0.00011044376152185,0.0232995431714244,0.8082,"Down","yes","Down"
"2","ENSG00000008517","IL32",-0.5568,5.05908337057677e-07,0.000282515087047111,0.6798,"Down","yes","Down"
"3","ENSG00000055044","NOP58",0.347,0.000284547973034422,0.0479430195763627,1.2719,"Up","yes","Up"
"4","ENSG00000057019","DCBLD2",0.3803,8.94614269027873e-07,0.00045497525681989,1.3016,"Up","yes","Up"
"5","ENSG00000064300","NGFR",-0.4787,2.97937139102306e-09,2.73717732955925e-06,0.7176,"Down","yes","Down"
"6","ENSG00000072274","TFRC",0.392,4.49165850521028e-05,0.0119553676848961,1.3122,"Up","yes","Up"
"7","ENSG00000072310","SREBF1",0.4632,1.91867730125392e-09,1.84951950882193e-06,1.3786,"Up","yes","Up"
"8","ENSG00000073756","PTGS2",0.6099,1.50463544524838e-07,9.73909488197134e-05,1.5262,"Up","yes","Up"
"9","ENSG00000074181","NOTCH3",0.8324,4.15719761778747e-06,0.00179389375991799,1.7807,"Up","yes","Up"
"10","ENSG00000080573","COL5A3",-0.551,2.69675047203399e-05,0.00801872389864172,0.6826,"Down","yes","Down"
"11","ENSG00000080823","MOK",0.3298,2.46912141858422e-05,0.00758350689459591,1.2568,"Up","yes","Up"
"12","ENSG00000082497","SERTAD4",0.4558,1.07409739073707e-05,0.00402503864318314,1.3716,"Up","yes","Up"
"13","ENSG00000084073","ZMPSTE24",0.3893,0.000138043226904056,0.0280819364444823,1.3097,"Up","yes","Up"
"14","ENSG00000085063","CD59",-0.3085,4.90771641734738e-07,0.000279543527132107,0.8075,"Down","yes","Down"
"15","ENSG00000085117","CD82",-0.3968,5.82854221991982e-05,0.014561130037133,0.7595,"Down","yes","Down"
"16","ENSG00000089280","FUS",0.3928,6.57667346948608e-06,0.00263807972409808,1.3129,"Up","yes","Up"
"17","ENSG00000091409","ITGA6",0.3503,1.99000991198602e-05,0.00644039571515476,1.2748,"Up","yes","Up"
"18","ENSG00000099783","HNRNPM",0.6131,4.94706349249009e-12,9.39282455107451e-09,1.5296,"Up","yes","Up"
"19","ENSG00000099860","GADD45B",-0.5225,4.98907738954733e-05,0.0130893122713386,0.6962,"Down","yes","Down"
"20","ENSG00000100664","EIF5",0.3596,5.32160726007359e-06,0.0021965126777811,1.283,"Up","yes","Up"
"21","ENSG00000100985","MMP9",-0.4333,1.23474063212459e-05,0.00434140903739608,0.7406,"Down","yes","Down"
"22","ENSG00000101160","CTSZ",0.2575,0.000146888238101073,0.0294604015571729,1.1954,"Not","no","Up"
"23","ENSG00000101210","EEF1A2",-0.4299,2.73109627165817e-05,0.00801872389864172,0.7423,"Down","yes","Down"
