"Dataset ID","Target Gene","T(co)F","Molecular Type","Knock-Method","Tissue Type","Biosample Name","Profile ID","Platform","Mean Expr. of Control","Mean Expr. of Treat","Fold Change","Log2FC"
"DataSet_01_101","SREBF1","IRF6","TF","shRNA","Fetal_liver","Primary CD34+ hematopoietic stem/progenitor cells (HSPCs)","GSE36988","GPL15394","1590.27","983.915","0.61871","-0.69267"
"DataSet_01_102","SREBF1","MYB","TF","shRNA","Fetal_liver","Primary CD34+ hematopoietic stem/progenitor cells (HSPCs)","GSE36988","GPL15394","1590.27","847.218","0.53275","-0.90847"
"DataSet_01_103","SREBF1","HNF1B","TF","shRNA","Ovary","RMG2","GSE37290","GPL570","66.0204","118.482","1.79462","0.84368"
"DataSet_01_105","SREBF1","FOXA1","TF","shRNA","Prostate","22RV1","GSE37314","GPL10558","434.467","187.867","0.43241","-1.20954"
"DataSet_01_116","SREBF1","TCF3","TF","shRNA","Mammary_gland","MDA-MB468","GSE38893","GPL6244","346.61","203.436","0.58693","-0.76874"
"DataSet_01_122","SREBF1","FOXM1","TF","siRNA","Central_nervous_system","U87","GSE40051","GPL570","68.9437","179.147","2.59845","1.37765"
"DataSet_01_137","SREBF1","IKZF2","TF","shRNA","Haematopoietic_and_lymphoid_tissue","JURKAT","GSE41796","GPL10332","11353.5","24357","2.14533","1.1012"
"DataSet_01_150","SREBF1","TFAP2C","TF","shRNA","Mammary_gland","MCF7","GSE44203","GPL14951","501.882","286.551","0.57095","-0.80856"
"DataSet_01_162","SREBF1","ELK1","TF","siRNA","Peripheral_blood","CD4+ T cells","GSE46333","GPL14550","914.699","300287","328.291","8.35883"
"DataSet_01_163","SREBF1","GATA3","TF","siRNA","Peripheral_blood","CD4+ T cells","GSE46333","GPL14550","914.699","630813","689.639","9.4297"
"DataSet_01_164","SREBF1","JUN","TF","siRNA","Peripheral_blood","CD4+ T cells","GSE46333","GPL14550","914.699","338710","370.296","8.53254"
"DataSet_01_165","SREBF1","MAF","TF","siRNA","Peripheral_blood","CD4+ T cells","GSE46333","GPL14550","914.699","330886","361.743","8.49882"
"DataSet_01_166","SREBF1","NFATC3","TF","siRNA","Peripheral_blood","CD4+ T cells","GSE46333","GPL14550","914.699","325905","356.298","8.47694"
"DataSet_01_167","SREBF1","NFKB1","TF","siRNA","Peripheral_blood","CD4+ T cells","GSE46333","GPL14550","914.699","663574","725.456","9.50274"
"DataSet_01_168","SREBF1","STAT3","TF","siRNA","Peripheral_blood","CD4+ T cells","GSE46333","GPL14550","914.699","213225","233.109","7.86486"
"DataSet_01_190","SREBF1","GABPA","TF","shRNA","Prostate","C4-2B","GSE49083","GPL10558","8.83487","9575.9","1083.88","10.082"
"DataSet_01_191","SREBF1","GABPA","TF","shRNA","Prostate","LNCaP","GSE49083","GPL10558","8.78232","6135.35","698.603","9.44833"
"DataSet_01_194","SREBF1","CREB1","TF","shRNA","Parotid_gland","H3118 MEC","GSE49673","GPL570","725.902","328.876","0.45306","-1.14223"
"DataSet_01_195","SREBF1","CREB1","TF","shRNA","Parotid_gland","HSY","GSE49673","GPL570","500.069","324.725","0.64936","-0.62291"
"DataSet_01_203","SREBF1","XBP1","TF","shRNA","Mammary_gland","T47D","GSE49953","GPL570","385.907","250.989","0.65039","-0.62063"
"DataSet_01_222","SREBF1","KLF9","TF","siRNA","Liver","HepG2","GSE54699","GPL10558","499.801","319.65","0.63955","-0.64487"
"DataSet_01_269","SREBF1","SIX4","TF","siRNA","Ovary","PEO1","GSE67327","GPL10558","24.3183","40.7822","1.67701","0.7459"
"DataSet_01_278","SREBF1","AR","TF","shRNA","Prostate","CWR22Pc","GSE68993","GPL16686","378.57","145.96","0.38556","-1.37499"
"DataSet_01_279","SREBF1","STAT5","TF","shRNA","Prostate","CWR22Pc","GSE68993","GPL16686","378.57","214.526","0.56667","-0.81941"
"DataSet_01_281","SREBF1","MSX1","TF","siRNA","Tooth","Dental Pulp Cells","GSE69992","GPL17077","0.79129","1.24026","1.56739","0.64837"
"DataSet_01_287","SREBF1","NFYA","TF","shRNA","Colon","HCT1163","GSE70543","GPL17889","877.545","532.918","0.60728","-0.71956"
"DataSet_01_295","SREBF1","TFAP4","TF","siRNA","Brain","BE(2)-C","GSE74626","GPL570","84.3745","8.97542","0.10638","-3.23276"
