"","V1","V2","V3","V4","V5","V6","V7"
"1","chr17",17811320,17811334,"NKX2-2",311,"+",NA
"2","chr17",17811323,17811334,"ELF5",256,"+",NA
"3","chr17",17811328,17811338,"Dlx1",212,"-",NA
"4","chr17",17811329,17811336,"Nr2e3",336,"-",NA
"5","chr17",17811329,17811337,"Dux",244,"-",NA
"6","chr17",17811329,17811337,"LHX1",204,"-",NA
"7","chr17",17811329,17811338,"Sox17",308,"+",NA
"8","chr17",17811331,17811342,"NKX2-5",302,"-",NA
"9","chr17",17811331,17811342,"RUNX1",269,"+",NA
"10","chr17",17811331,17811343,"Foxd3",320,"+",NA
"11","chr17",17811332,17811339,"Sox5",289,"+",NA
"12","chr17",17811332,17811341,"SRY",291,"-",NA
"13","chr17",17811332,17811342,"TBX3",223,"+",NA
"14","chr17",17811333,17811343,"MSANTD3",273,"-",NA
"15","chr17",17811334,17811340,"Ahr::Arnt",276,"+",NA
"16","chr17",17811334,17811341,"FOXL1",218,"-",NA
"17","chr17",17811334,17811343,"HIC2",229,"-",NA
"18","chr17",17811334,17811345,"FOXK2",288,"-",NA
"19","chr17",17811334,17811345,"FOXP1",285,"-",NA
"20","chr17",17811334,17811345,"Foxf1",288,"-",NA
"21","chr17",17811335,17811343,"FOXG1",273,"-",NA
"22","chr17",17811335,17811343,"Foxj2",249,"-",NA
"23","chr17",17811335,17811348,"FOXD2",268,"-",NA
"24","chr17",17811336,17811343,"FOXI1",248,"-",NA
"25","chr17",17811336,17811343,"FOXL1",278,"-",NA
"26","chr17",17811336,17811343,"FOXO4",291,"-",NA
"27","chr17",17811336,17811343,"FOXO6",310,"-",NA
"28","chr17",17811336,17811343,"FOXP3",228,"-",NA
"29","chr17",17811336,17811347,"DMRT3",346,"+",NA
"30","chr17",17811336,17811347,"FOXH1",336,"-",NA
"31","chr17",17811336,17811348,"DMRTA2",275,"-",NA
"32","chr17",17811337,17811343,"ZNF354C",219,"-",NA
"33","chr17",17811339,17811347,"SOX18",221,"-",NA
"34","chr17",17811339,17811349,"CUX1",269,"-",NA
"35","chr17",17811340,17811353,"ZBTB18",356,"+",NA
"36","chr17",17811341,17811352,"Tcf12",323,"-",NA
"37","chr17",17811341,17811353,"MYF5",291,"+",NA
"38","chr17",17811341,17811353,"MYF5",291,"-",NA
"39","chr17",17811341,17811354,"HSF4",350,"+",NA
"40","chr17",17811342,17811352,"BHLHA15(var.2)",234,"-",NA
